,health
164,"Please visit the Embassy's COVID-19 page for more information on COVID-19 in Senegal. Several hospitals and clinics in Dakar can treat major and minor injuries and illnesses; however, medical facilities outside Dakar are extremely limited and unprepared to handle major injuries. There is inadequate inpatient psychiatric care and limited office-based psychiatric treatment in Dakar. For emergency services in Senegal, dial 800-881-881 (Toll Free/Numero Vert) for SAMU. Ambulance services are either unavailable or unreliable in most areas except Dakar, where ambulance services exist but can often arrive with great delay (up to 30-45 minutes). In the event an ambulance is not immediately available (the services will often provide an estimated time of arrival), injured or seriously ill travelers may prefer to take a taxi or private vehicle to the nearest major hospital rather than wait for an ambulance. The U.S. Embassy maintains a list of doctors and hospitals . We do not endorse or recommend any specific medical provider or clinic. We do not pay medical bills . Be aware that U.S. Medicare does not apply overseas. Medical Insurance : Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage . We strongly recommend supplemental insurance to cover medical evacuation. Always carry prescription medication in its original packaging, along with your doctor’s prescription. The following diseases are present: Malaria Typhoid Tuberculosis Yellow Fever Zika Meningococcal Meningitis Rabies Measles Vaccinations : Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Further health information : World Health Organization U.S. Centers for Disease Control and Prevention (CDC) Water Quality: In many areas, tap water is not potable. Bottled water and beverages are generally safe, although you should be aware that many restaurants and hotels serve tap water unless bottled water is specifically requested. Be aware that ice for drinks may be made using tap water. Wash raw vegetables and fruits in a bleach solution before eating. Air Quality: Visit AirNow Department of State for information on air quality at U.S. Embassies and Consulates. Air pollution is a significant problem in several major cities in Senegal. Consider the impact seasonal smog and heavy particulate pollution may have on you and consult your doctor before traveling if necessary. The air quality varies considerably and fluctuates with the seasons. It is typically at its worst during the Harmattan winds in January and February, which frequently carry dust and sand particles from the Sahara and result in poor air quality throughout the country. People at greatest risk from particle pollution exposure include: Infants, children, and teens People over 65 years of age People with lung disease such as asthma and chronic obstructive pulmonary disease (COPD), which includes chronic bronchitis and emphysema People with heart disease or diabetes People who work or are active outdoors"
165,"Medical Facilities: Many doctors and other health care providers in Serbia are highly trained. Equipment and hygiene in hospitals, clinics, and ambulances are usually not up to U.S. standards. U.S. name-brand medicines are often unavailable in Serbia. You can get many medicines and basic medical supplies at private pharmacies. Medical facilities require payment in cash for all services, and do not accept U.S. health insurance. Please review our travel tips for older travelers . For emergency services in Serbia, dial 193 (fire-fighters), 194 (paramedics), or 987 (roadside assistance). Ambulance services are not widely available, and training, availability of emergency responders, and ambulance equipment may be below U.S. standards. We do not pay medical bills. Be aware that U.S. Medicare/Medicaid does not apply overseas. Hospitals and doctors overseas do not accept U.S. health insurance. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage. Visit the U.S. Centers for Disease Control and Prevention for more information on type of insurance you should consider before you travel overseas. We strongly recommend supplemental insurance to cover medical evacuation. Medications: Always carry your prescription medication in original packaging, along with your doctor’s prescription. Check with the Medicines and Medical Devices Agency to ensure the medication is legal in Serbia. Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC) Air Quality: Visit AirNow Department of State for information on air quality at U.S. Embassies and Consulates. The U.S. Embassy maintains a list of doctors and hospitals. We do not endorse or recommend any specific medical provider or clinic. Health facilities in general: Adequate health facilities are available throughout the country but health care in rural areas may be below U.S. standards. Some private hospitals may require advance payment or proof of adequate insurance before admitting a patient. Psychological and psychiatric services are limited, even in the larger cities, with hospital-based care only available through government institutions Medical Tourism and Elective Surgery Medical tourism is a rapidly growing industry, especially in dentistry. People seeking health care overseas should understand that medical systems operate differently from those in the United States and are not subject to the same rules and regulations. Anyone interested in traveling for medical purposes should consult with their local physician before traveling and visit the U.S. Centers for Disease Control and Prevention website for more information on Medical Tourism. Visit the U.S. Centers for Disease Control and Prevention website for information on Medical Tourism, the risks of medical tourism, and what you can do to prepare before traveling to Serbia. We strongly recommend supplemental insurance to cover medical evacuation in the event of unforeseen medical complications. In case of malpractice, you may pursue legal remedies using local attorneys. Pharmaceuticals U.S. Customs and Border Protection and the Food and Drug Administration are responsible for rules governing the transport of medication back to the United States. Medication purchased abroad must meet their requirements to be legally brought back into the United States. Medication should be for personal use and must be approved for usage in the United States. Please visit the U.S. Customs and Border Protection and the Food and Drug Administration websites for more information. Non-Traditional Medicine U.S. citizens have suffered serious complications or died while seeking medical care from non-traditional “healers” and practitioners in Serbia. Homeopathy, herbal remedies, and other non-traditional treatments are practiced in Serbia and promoted as natural alternatives to traditional medicine. Ensure you have access to licensed emergency medical facilities in such cases. Assisted Reproductive Technology and Surrogacy If you are considering traveling to Serbia to have a child through use of assisted reproductive technology (ART) or surrogacy, please see our ART and Surrogacy Abroad page . Surrogacy is illegal for foreigners and Serbians in Serbia. Adventure Travel Visit the U.S. Centers for Disease Control and Prevention website for more information about Adventure Travel."
166,"We do not pay medical bills . Be aware that U.S. Medicare does not apply overseas. All care providers expect payment in Seychellois Rupees. Consult the CDC website for the Seychelles prior to travel. Medical facilities are limited, especially on isolated islands. The main hospital, including accident and emergency services, is in Victoria (telephone: + 248 -4388-000). Recommendations: Carry prescription medication in original packaging. Verify with Seychelles Customs that your medications are legal before you travel. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage . We strongly recommend supplemental insurance (our webpage) to cover medical evacuation. The following diseases are prevalent: Chikungunya Dengue Fever Hepatitis A Hepatitis B Rabies Typhoid Please note that passengers may be quarantined during seasonal plague outbreaks IF you are travelling from plague-infected countries. HIV/AIDS: HIV/AIDS prevalence is increasing among the population, especially tied to intravenous drug use. Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention . Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC)"
167,"Please visit the Embassy’s COVID-19 page for more information about COVID-19 in Sierra Leone. Medical facilities and services in Sierra Leone are severely limited. The standard of care, including basic medical services such as imaging or blood tests, is much lower than that of the United States. For emergency services in Sierra Leone, dial 117. Ambulance services are: not widely available and training and availability of emergency responders may be below U.S. standards. not present throughout the country or are unreliable in most areas. not equipped with state-of-the-art medical equipment. not staffed with trained paramedics and often have little or no medical equipment. Injured or seriously ill travelers may prefer to take a taxi or private vehicle to the nearest major hospital rather than wait for an ambulance. We do not pay medical bills. Be aware that U.S. Medicare/Medicaid does not apply overseas. Most hospitals and doctors overseas do not accept U.S. health insurance. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage. Visit the U.S. Centers for Disease Control and Prevention for more information on type of insurance you should consider before you travel overseas. We strongly recommend supplemental insurance to cover medical evacuation. Always carry your prescription medication in original packaging, along with your doctor’s prescription. Check with the Sierra Leone’s Federal Office of Public Health to ensure the medication is legal in Sierra Leone. Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC) Air Quality: Visit AirNow Department of State for information on air quality at U.S. Embassies and Consulates. The U.S. Embassy maintains a list of doctors and hospitals . We do not endorse or recommend any specific medical provider or clinic. Water Quality: In many areas, tap water is not potable. Bottled water and beverages are generally safe, although you should be aware that many restaurants and hotels serve tap water unless bottled water is specifically requested. Be aware that ice for drinks may be made using tap water. Altitude: Many cities in Sierra Leone, such as Kabala, are at high altitude. Be aware of the symptoms of altitude sickness and take precautions before you travel. Visit the U.S. Centers for Disease Control and Prevention website for more information about Travel to High Altitudes. Adventure Travel: Visit the U.S. Centers for Disease Control and Prevention website for more information about Adventure Travel. General Health: The following diseases are prevalent: Malaria Yellow Fever Typhoid Dengue Travelers’ Diarrhea Rabies Use the U.S. Centers for Disease Control and Prevention recommended mosquito repellents and sleep under insecticide-impregnated mosquito nets. Chemoprophylaxis is recommended for all travelers even for short stays. Visit the Centers for Disease Control and Prevention website for more information regarding specific issues in Sierra Leone. Air Quality: Air pollution is a significant problem in several major cities in Sierra Leone. Consider the impact seasonal smog and heavy particulate pollution may have on you and consult your doctor before traveling if necessary. The air quality varies considerably and fluctuates with the seasons. It is typically at its worst in the dry season between December and February. People at the greatest risk from particle pollution exposure include: Infants, children, and teens People over 65 years of age People with lung disease such as asthma and chronic obstructive pulmonary disease (COPD), which includes chronic bronchitis and emphysema; People with heart disease or diabetes"
168,"Good medical care is widely available in Singapore. Doctors and hospitals: expect immediate, up-front payment for health services by credit card or cash generally do not accept U.S. health insurance may require a substantial deposit before admitting you for any major medical treatment. In certain circumstances, the Ministry of Health may access patient medical records without the consent of the patient, and in certain circumstances physicians may be required to report information relating to the diagnosis or treatment without the patient's consent. Employment pass holders are subject to medical exams and may be denied or deported on medical grounds, including for HIV infection. For emergency services in Singapore, dial 955. Ambulance services are widely available. We do not pay medical bills. Be aware that U.S. Medicare does not apply overseas. Most hospitals and doctors overseas do not accept U.S. health insurance. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage. Visit the U.S. Centers for Disease Control and Prevention for more information on type of insurance you should consider before you travel overseas. We strongly recommend supplemental insurance to cover medical evacuation. Always carry your prescription medication in original packaging, along with your doctor’s prescription. Check with Singapore’s Health Sciences Authority to ensure the medication is legal in Singapore. Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC) Air Quality: Visit AirNow Department of State for information on air quality at U.S. Embassies and Consulates. The U.S. Embassy maintains a list of doctors and hospitals . We do not endorse or recommend any specific medical provider or clinic. Health facilities in general: Adequate health facilities are available throughout the country. Hospitals and doctors may require payment “up front” prior to service or admission. Private hospitals usually require advance payment or proof of adequate insurance before admitting a patient. Medical Tourism and Elective Surgery: Visit the U.S. Centers for Disease Control and Prevention website for information on Medical Tourism, the risks of medical tourism, and what you can do to prepare before traveling to Singapore. We strongly recommend supplemental insurance to cover medical evacuation in the event of unforeseen medical complications. Pharmaceuticals: Exercise caution when purchasing medication overseas. Pharmaceuticals, both over the counter and requiring prescription in the United States, are often readily available for purchase with little controls. Counterfeit medication is common and may prove to be ineffective, the wrong strength, or contain dangerous ingredients. Medication should be purchased in consultation with a medical professional and from reputable establishments. U.S. Customs and Border Protection and the Food and Drug Administration are responsible for rules governing the transport of medication back to the United States. Medication purchased abroad must meet their requirements to be legally brought back into the United States. Medication should be for personal use and must be approved for usage in the United States. Please visit the U.S. Customs and Border Protection and the Food and Drug Administration websites for more information. Assisted Reproductive Technology and Surrogacy: If you are considering traveling to Singapore to have a child through use of assisted reproductive technology (ART) or surrogacy, please see our ART and Surrogacy Abroad page . Surrogacy is illegal for foreigners in Singapore, subject to complex local regulation. For additional information, visit the Government of Singapore’s website for information on foreigner surrogacy. Adventure Travel: Visit the U.S. Centers for Disease Control and Prevention website for more information about Adventure Travel . General Health: The following diseases are prevalent: Dengue Chikungunya Use the U.S. Centers for Disease Control and Prevention recommended mosquito repellents and sleep under insecticide-impregnated mosquito nets. Chemoprophylaxis is recommended for all travelers even for short stays. Visit the U.S. Centers for Disease Control and Prevention website for more information about Resources for Travelers regarding specific issues in Singapore. Mosquito-borne diseases: Dengue is active in Singapore and can be monitored at the Singapore National Environmental Agency . In addition, most neighboring countries are Zika endemic. Haze: Air pollution from forest fires in neighboring countries occurs intermittently, usually between July and October. Singapore’s National Environmental Agency’s Haze provides public updates on conditions."
169,"Access to quality medical care is limited in Sint Maarten. Facilities may not meet U.S. standards. There is one hospital on the Dutch Side, St. Maarten Medical Center (SMMC), which offers 24-hour emergency services. A list of medical facilities in Sint Maarten is available on our Consulate website. We do not endorse or recommend any specific medical provider or clinic. Many medical specialties are unavailable in Sint Maarten. Critically ill patients must often be transferred to neighboring countries or to the United States. There is no decompression chamber in Sint Maarten. Below are important phone numbers for emergency assistance: Emergency: 911 Ambulance/EMS: 912 Hospital (Sint Maarten Medical Center): +1 (721) 543-1111 Ambulance services are widely available. We do not pay medical bills. Be aware that U.S. Medicare/Medicaid does not apply overseas. Most hospitals and doctors overseas do not accept U.S. health insurance. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage. Visit the U.S. Centers for Disease Control and Prevention for more information on type of insurance you should consider before you travel overseas.We strongly recommend supplemental insurance to cover medical evacuation. Medicines : If traveling with prescription medication, check with the Government of Sint Maarten to ensure the medication is legal in Sint Maarten.  Always carry your prescription medication in original packaging with your doctor’s prescription. Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. The following diseases are prevalent: Zika Virus Dengue Chikungunya Use the U.S. Centers for Disease Control and Prevention recommended mosquito repellents and sleep under insecticide-impregnated mosquito nets. Chemoprophylaxis is recommended for all travelers even for short stays. Visit the U.S. Centers for Disease Control and Prevention website for more information about Resources for Travelers regarding specific issues in Sint Maarten. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC) Air Quality: Visit AirNow Department of State for information on air quality at U.S. Embassies and Consulates."
170,"Please visit the Embassy's COVID-19 page for more information on COVID-19 in Slovakia. The quality and availability of medical facilities varies. A limited number of doctors speak English. For any emergency, including medical emergencies, call 112 . English-speaking dispatchers are usually available. Individuals with medical emergencies are transported to one of four main hospitals in Bratislava: Petrzalka Kramare Ruzinov Old Town Children’s emergencies are handled at Bratislava’s Children’s University Hospital. Ambulance services are widely available. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage . Visit the U.S. Centers for Disease Control and Prevention for more information on type of insurance you should consider before you travel overseas. Without Slovak health insurance, ambulance service starts at 120 euros per transport . Be aware that U.S. Medicare does not apply overseas. You may need special insurance for hiking and skiing , which is available from local providers. If you stay longer than 90 days , you need local health insurance. The tick-borne encephalitis vaccination is recommended. Contact your doctor for more information. We do not pay medical bills . We strongly recommend supplemental insurance to cover medical evacuation. Always carry your prescription medication in its original packaging, along with your doctor’s prescription.  Check with the Slovak Ministry of Health to ensure the medication is legal in Slovakia. The following disease is prevalent: Tick-borne encephalitis (TBE) can result from the bites of ticks commonly found in the bushes and grass of forests in Slovakia at lower and middle elevations. They are most active from spring to late fall especially in the northern regions of Trencin and Zilina. Low risk exists throughout the rest of the country. Transmission occurs throughout the year, with highest activity from June through September. Even though the CDC does not explicitly recommend the TBE vaccine, other official European sources have recommended the TBE vaccine for travelers who plan to stay for extended periods or who plan to camp and stay outdoors. Vaccines are available through a general practitioner or a pediatrician in Slovakia but are not available in the U.S. Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Health facilities in general: Adequate health facilities are available throughout the country. Doctors, hospitals, and ambulance services in Slovakia expect cash payment unless the patient can present an insurance number from the Slovak National Insurance Company or show proof of private insurance prior to needing medical care. Travelers should make efforts to obtain complete information on billing, pricing, and proposed medical procedures before agreeing to any medical care. Nurses may speak little or no English. Patients bear all costs for transfer to or between hospitals. Psychological and psychiatric services are limited, even in the larger cities, with hospital-based care only available through government institutions. The U.S. Embassy maintains a list of doctors and hospitals .  We do not endorse or recommend any specific medical provider or clinic. Medical Tourism and Elective Surgery Although Slovakia has many elective/cosmetic surgery facilities that are on par with those found in the United States, the quality of care varies.  If you plan to undergo surgery in Slovakia, make sure that emergency medical facilities are available, and professionals are accredited and qualified. People seeking health care overseas should understand that medical systems operate differently from those in the United States and are not subject to the same rules and regulations.  Anyone interested in traveling for medical purposes should consult with their local physician before traveling and visit the CDC Medical Tourism for more information on Medical Tourism. Visit the U.S. Centers for Disease Control and Prevention website for information on Medical Tourism, the risks of medical tourism, and what you can do to prepare before traveling to Slovakia. We strongly recommend supplemental insurance to cover medical evacuation in the event of unforeseen medical complications. Your legal options in case of malpractice are available through the Office of Supervision of Healthcare Providers , at the Public Health Authority . Official communication is in Slovak language only. Pharmaceuticals Pharmaceuticals, both over the counter and requiring prescription, are often readily available for purchase. U.S. Customs and Border Protection and the Food and Drug Administration are responsible for rules governing the transport of medication back to the United States. Medication purchased abroad must meet their requirements to be legally brought back into the United States. Medication should be for personal use and must be approved for usage in the United States. Please visit the U.S. Customs and Border Protection and the Food and Drug Administration websites for more information. Slovakia does not allow the importation of medication unless the traveler shows the prescription and the amount necessary for the trip. Please review Slovakia’s rules on medication at the Slovak Ministry of Health . Non-Traditional Medicine Officially licensed medical providers can be verified at https://www.portaludzs.sk/overenie-poskytovatela-zdravotnej-starostlivosti Assisted Reproductive Technology and Surrogacy Surrogacy is illegal in Slovakia. Foreigners do not regularly travel to Slovakia for ART services. Water Quality: In Slovakia, tap water is potable. Bottled water and beverages are also safe. Air Quality: Cities in Slovakia have air pollution levels similar to those in major U.S. cities. Levels are generally low during the warm season but sometimes worse than U.S. standards in the cold season. Visit the European Environment Agency’s website for information on air quality in Slovakia. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC)"
171,"Please visit the Embassy's COVID-19 page for more information on COVID-19 in Slovenia. Facilities For emergency services in Slovenia dial 112. Ambulance services are widely available and reliable. When contacting an ambulance, if you do not speak Slovenian, you may need to find a Slovenian speaker who can explain your location. Medical care throughout Slovenia is comparable to that found in the United States.. Emergency responders may determine that patients requiring specialized and more complex medical care need to be transported to Ljubljana Clinical Center (public hospital) by air. While many medical providers in Slovenia speak excellent English, that may not be the case for all medical staff. There is a list of English-speaking medical providers and 24-hour pharmacies on the U.S. Embassy’s website. Although most government-run institutions in Slovenia provide care at little or no cost to Slovenian nationals, foreign nationals, including U.S. citizens, are expected to pay the full cost directly. That said, prices in government-run clinics are very reasonable. Private clinics are also an option. For both, you will pay up front and can later seek reimbursement from your health insurance provider. We do not pay medical bills. Be aware that U.S. Medicare/Medicaid does not apply overseas. Most hospitals and doctors overseas do not accept U.S. health insurance. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage. Visit the U.S. Centers for Disease Control and Prevention for more information on the type of insurance you should consider before you travel overseas. We strongly recommend supplemental insurance to cover medical evacuation. Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Clinics for preventive vaccinations can provide more information. Pharmaceuticals: Always carry your prescription medication in original packaging, along with your doctor’s prescription. Almost all prescriptions available in the United States are widely available in Slovenia (although may be under different names). You may need a prescription for medications (such as Ibuprofen when over 200 mg) that could be purchased over-the-counter in the United States. U.S. Customs and Border Protection and the Food and Drug Administration are responsible for rules governing the transport of medication to the United States. Medication purchased abroad must meet their requirements to be legally brought  into the United States. Medication should be for personal use and must be approved for usage in the United States. Please visit the U.S. Customs and Border Protection and the Food and Drug Administration websites for more information. Air Quality: Visit AirNow Department of State for information on air quality at U.S. Embassies and Consulates. Ljubljana has air pollution levels similar to those in major U.S. cities. Visit the European Environment Agency’s website for information on air quality in Slovenia. Water Quality: The tap water in Ljubljana and other cities in Slovenia is suitable for drinking. Precautions for safe food storage and preparation are the same as would be practiced in the United States. Detailed laboratory reports about the water quality are available in Slovenian language. Slovenia does not put fluoride in the tap water, so long term residents might want to consider fluoride supplements for their children. General Health Language: Make sure you are up-to-date on routine vaccines before every trip. These vaccines include measles-mumps-rubella (MMR) vaccine, diphtheria-tetanus-pertussis vaccine, varicella (chickenpox) vaccine, polio vaccine, and your yearly flu shot. Slovenia has a high incidence of Lyme disease and encephalitis, both transmitted by ticks. For stays longer than three months, consider getting a vaccine to prevent tick-borne encephalitis. This vaccine is not available in the United States, but is available in Slovenia. Use insect repellent and inspect your body after being outdoors. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC)"
172,"For emergency services in Solomon Islands, call St. Johns Ambulance service (+677) 38160 or (+677) 73 98566. Ambulance services are: Generally available in Honiara but training and availability of emergency responders may be below U.S. standards. Not present throughout the rest of the country or are unreliable except in Honiara. May not be equipped with state-of-the-art medical equipment. In areas outside Honiara, injured or seriously ill travelers may prefer to take a taxi, private vehicle, water-borne transportation, or private foreign or local air ambulance service to the nearest major hospital rather than wait for an ambulance. We do not pay medical bills. Be aware that U.S. Medicare/Medicaid does not apply overseas. Most hospitals and doctors overseas do not accept U.S. health insurance. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage. Visit the U.S. Centers for Disease Control and Prevention for more information on type of insurance you should consider before you travel overseas. We strongly recommend supplemental insurance to cover medical evacuation, as medical evacuation to Australia, New Zealand, or the United States can cost thousands of dollars. Always carry your prescription medication in original packaging, along with your doctor’s prescription. Vaccinations: Be up-to-date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. Travelers arriving from measles-affected countries must provide proof of measles vaccination administered no less than three weeks prior to arrival in Solomon Islands. For the purposes of this requirement, measles-affected countries include American Samoa, Samoa, Fiji, Tonga, Kiribati, Australia, New Zealand, Papua New Guinea, and Philippines. This requirement does not apply to infants under six months of age, pregnant women, or to other travelers with documentary evidence of contraindications to measles vaccine administration. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention (CDC) Air Quality: Visit AirNow Department of State for information on air quality at U.S. Embassies and Consulates. The air quality varies considerably and fluctuates with the seasons. It is typically at its worst in the dry season. People at the greatest risk from particle pollution exposure include: Infants, children, and teens People over 65 years of age People with lung disease such as asthma and chronic obstructive pulmonary disease (COPD), which includes chronic bronchitis and emphysema; People with heart disease or diabetes People who work or are active outdoors Contact the U.S. Consular Agency in Honiara for a list of doctors and hospitals. We do not endorse or recommend any specific medical provider or clinic. Health facilities in general: Adequate health facilities are available in Honiara and Auki, but health care may be below U.S. standards. Public medical clinics may lack basic resources and supplies. Medical staff may only speak basic English or Pidgin English. Psychological and psychiatric services are limited, with hospital-based care only available through government institutions in Auki. We strongly recommend supplemental insurance to cover medical evacuation in the event of unforeseen medical complications. Legal options in cases of malpractice are extremely limited or non-existent in Solomon Islands. The nearest health facilities that offer comprehensive health care at U.S. standards are in Australia and New Zealand. Contact the U.S. Consular Agency in Honiara for a list of doctors and hospitals. We do not endorse or recommend any specific medical provider or clinic. Specialized care for scuba divers: The hyperbaric recompression chamber in Honiara is the only chamber in Solomon Islands and is operated by on-call volunteers. Medical complications resulting from scuba diving accidents may require evacuation to Australia or New Zealand. Pharmaceuticals Exercise caution when purchasing medication overseas. Pharmaceuticals, both over the counter and requiring prescription in the United States, are often readily available for purchase with little controls. Counterfeit medication is common and may prove to be ineffective, the wrong strength, or contain dangerous ingredients. Medication should be purchased in consultation with a medical professional and from reputable establishments. Specialized medicines may need to be ordered from Australia and may take weeks to arrive. U.S. Customs and Border Protection and the Food and Drug Administration are responsible for rules governing the transport of medication back to the United States. Medication purchased abroad must meet their requirements to be legally brought back into the United States. Medication should be for personal use and must be approved for usage in the United States. Please visit the U.S. Customs and Border Protection and the Food and Drug Administration websites for more information. Water Quality In many areas, tap water is not potable. Bottled water and beverages are generally safe, although you should be aware that many restaurants and hotels serve tap water unless bottled water is specifically requested. Be aware that ice for drinks may be made using tap water. Adventure Travel Visit the U.S. Centers for Disease Control and Prevention website for more information about Adventure Travel . General Health Language The following diseases are prevalent: Malaria Dengue Use the U.S. Centers for Disease Control and Prevention recommended mosquito repellents and sleep under insecticide-impregnated mosquito nets. Chemoprophylaxis is recommended for all travelers even for short stays. HIV/AIDS: The prevalence of HIV/AIDS in Solomon Islands is relatively low and stable. The National Referral Hospital in Honiara can provide HIV/AIDS antiretroviral therapy and perform HIV/AIDS tests. There are often shortages of medicines and medical supplies throughout Solomon Islands. Local pharmacies are generally equipped with basis medicines but not all pharmacies are reputable. Visit the U.S. Centers for Disease Control and Prevention website for more information about Resources for Travelers regarding specific issues in Solomon Islands."
173,"Please visit the U.S. Embassy's COVID-19 page for more information on entry/exit requirements related to COVID-19 in Somalia. Water, health, and electricity systems in Somalia are poor. Medical care and services are extremely limited. Medicines are in short supply, and many pharmacies stock ineffective or counterfeit medications. Most care providers expect payment in U.S. dollars/Somali shillings prior to treatment. Ambulance services are not present or are unreliable in most areas except Mogadishu. Somalia Red Crescent Society services may be available in some areas in case of disasters/emergency. We do not pay medical bills. Be aware that U.S. Medicare/Medicaid does not apply overseas. Most hospitals and doctors overseas do not accept U.S. health insurance. Medical Insurance: Make sure your health insurance plan provides coverage overseas. Most care providers overseas only accept cash payments. See our webpage for more information on insurance providers for overseas coverage. Visit the U.S. Centers for Disease Control and Prevention for more information on the type of insurance you should consider before you travel overseas. We strongly recommend supplemental insurance to cover medical evacuation. Medical evacuation services in Somalia are extremely limited, and services responding from outside of the country will take more than six hours to respond. Always carry your prescription medication in original packaging, along with your doctor’s prescription. Check with the Somali Ministry of Health to ensure the medication is legal in Somalia. Vaccinations: Be up to date on all vaccinations recommended by the U.S. Centers for Disease Control and Prevention. If you will be in Somalia for more than four weeks, the Somali government may require you to show proof of polio vaccination when you are exiting the country. If you were vaccinated against polio as a child but have never had a polio booster dose as an adult, or if you were not completely vaccinated as a child/do not know your vaccination status, talk to your doctor about getting vaccinated. To meet this requirement while in Somalia, you should receive a polio vaccine between 4 weeks and 12 months before the date you are leaving Somalia. Talk to your doctor about whether this requirement applies to you. Further health information: World Health Organization U.S. Centers for Disease Control and Prevention Air Quality: Visit AirNow Department of State for information on air quality at U.S. embassies and consulates. Health facilities in general Public medical clinics lack basic resources and supplies. Hospitals and doctors often require payment “up front” prior to service or admission. Credit card payment is generally unavailable. Most hospitals and medical professionals require cash payment. Generally, in hospitals only minimal staff is available overnight. Consider hiring a private nurse or having family spend the night with the patient, especially a minor child. Patients bear all costs for transfer to or between hospitals. Psychological and psychiatric services are limited, even in the larger cities, with hospital-based care only available through government institutions. The following diseases are prevalent: African Tick Bite Fever Chikungunya Cholera Dengue Hantavirus Hepatitis A Hepatitis B Leishmaniasis Leptospirosis Malaria Measles Polio Rabies Schistosomiasis Tuberculosis (TB) Typhoid Yellow Fever Food-borne and water-borne illnesses are common. Use the U.S. Centers for Disease Control and Prevention recommended mosquito repellents and sleep under insecticide-impregnated mosquito nets. Chemoprophylaxis is recommended for all travelers even for short stays. Visit the U.S. Centers for Disease Control and Prevention website for more information about resources for travelers regarding specific issues in Somalia ."
